Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,102.879997,103.419998,102.760002,103.260002,101.042221,7479300
2022-04-21,102.970001,102.980003,102.269997,102.690002,100.484451,9137500
2022-04-22,102.43,103.019997,102.379997,102.739998,100.533379,5451600
2022-04-25,103.550003,103.980003,103.339996,103.400002,101.179222,8617400
2022-04-26,104.099998,104.269997,103.760002,104.089996,101.854401,9575400
2022-04-27,104.029999,104.129997,103.459999,103.510002,101.286842,7908900
2022-04-28,103.160004,103.389999,102.959999,103.360001,101.140068,6943500
2022-04-29,102.599998,103.209999,102.550003,102.809998,100.601891,10012500
2022-05-02,102.150002,102.220001,101.82,101.919998,99.852417,11327000
2022-05-03,102.519997,102.599998,102.019997,102.040001,99.969978,8129100
2022-05-04,102.0,102.779999,101.809998,102.699997,100.616577,11934700
2022-05-05,101.889999,102.029999,101.150002,101.669998,99.607483,11675700
2022-05-06,101.150002,101.610001,100.989998,101.089996,99.039238,12538400
2022-05-09,101.139999,101.889999,101.089996,101.839996,99.774025,7301200
2022-05-10,102.309998,102.580002,102.120003,102.18,100.107124,8054600
2022-05-11,101.93,102.849998,101.790001,102.809998,100.724342,7167900
2022-05-12,103.120003,103.57,103.010002,103.150002,101.057449,8132400
2022-05-13,102.870003,102.940002,102.550003,102.610001,100.528389,6016900
2022-05-16,102.980003,103.330002,102.870003,103.040001,100.949699,3315600
2022-05-17,102.349998,102.650002,102.230003,102.260002,100.185493,4286800
2022-05-18,102.260002,103.099998,102.190002,102.989998,100.900696,4465500
2022-05-19,103.900002,103.93,103.279999,103.360001,101.263191,5137600
2022-05-20,103.300003,103.989998,103.269997,103.839996,101.733459,5908800
2022-05-23,103.57,103.769997,103.199997,103.209999,101.116219,5720600
2022-05-24,103.739998,104.470001,103.709999,104.099998,101.988182,6786600
2022-05-25,104.470001,104.470001,104.07,104.309998,102.193916,4274500
2022-05-26,104.370003,104.410004,103.879997,104.260002,102.144928,3478900
2022-05-27,104.449997,104.589996,104.220001,104.410004,102.291901,2508200
2022-05-31,103.620003,103.629997,103.150002,103.32,101.224007,6773200
2022-06-01,103.269997,103.370003,102.419998,102.610001,100.65406,5555900
2022-06-02,102.910004,102.919998,102.519997,102.760002,100.801216,3014300
2022-06-03,102.360001,102.650002,102.330002,102.559998,100.605019,2687800
2022-06-06,102.309998,102.410004,101.730003,101.790001,99.849701,4800600
2022-06-07,102.059998,102.43,102.040001,102.199997,100.251877,3230000
2022-06-08,102.010002,102.169998,101.809998,101.82,99.879135,2917900
2022-06-09,101.690002,101.940002,101.510002,101.730003,99.790848,4178600
2022-06-10,101.209999,101.309998,100.599998,100.730003,98.809914,4443400
2022-06-13,99.660004,99.800003,98.419998,98.940002,97.054031,9200800
2022-06-14,99.160004,99.300003,97.989998,98.150002,96.279106,7829800
2022-06-15,98.949997,99.559998,98.400002,99.519997,97.622978,10256200
2022-06-16,98.550003,100.220001,98.43,100.169998,98.26059,9168800
2022-06-17,100.260002,100.459999,99.550003,100.199997,98.290001,7029700
2022-06-21,99.660004,99.949997,99.550003,99.68,97.77993,10342000
2022-06-22,100.839996,101.120003,100.709999,100.940002,99.015907,9501900
2022-06-23,101.559998,102.169998,101.400002,101.510002,99.575043,9247200
2022-06-24,101.379997,101.760002,101.07,101.150002,99.221909,5127000
2022-06-27,100.57,101.019997,100.449997,100.580002,98.662773,5439400
2022-06-28,100.470001,100.739998,100.330002,100.709999,98.790283,3763300
2022-06-29,100.879997,101.519997,100.790001,101.519997,99.584846,3559600
2022-06-30,102.099998,102.540001,102.010002,102.300003,100.349983,5409500
2022-07-01,103.120003,103.970001,102.980003,103.239998,101.425735,63222900
2022-07-05,103.75,104.019997,103.440002,103.620003,101.799072,6651400
2022-07-06,104.0,104.010002,102.720001,102.739998,100.934525,4754700
2022-07-07,102.769997,102.769997,102.029999,102.110001,100.315598,4058100
2022-07-08,101.830002,101.839996,101.370003,101.489998,99.70649,3664900
2022-07-11,102.029999,102.459999,101.980003,102.290001,100.492447,2765700
2022-07-12,102.830002,103.029999,102.449997,102.529999,100.728203,3669200
2022-07-13,101.910004,103.050003,101.779999,102.970001,101.1605,6809400
2022-07-14,102.199997,102.639999,101.93,102.400002,100.600502,5370400
2022-07-15,102.470001,102.989998,102.440002,102.75,100.944344,3834000
2022-07-18,102.419998,102.599998,102.029999,102.449997,100.649628,3150700
2022-07-19,102.32,102.410004,101.879997,101.980003,100.187889,2996100
2022-07-20,102.480003,102.489998,101.800003,101.879997,100.089638,53057500
2022-07-21,102.290001,103.040001,102.190002,103.040001,101.229256,5344300
